time/fps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,time/time_elapsed,train/n_updates,train/learning_rate,time/total_timesteps,time/episodes
4599,484.2093023255814,0.05,-3065.74534883721,3.6800687313079834,9,10385,0.001,41642,86
4601,484.39080459770116,0.05,-3042.547126436782,2.6078100204467773,9,10510,0.001,42142,87
4603,484.5681818181818,0.05,-3020.2386363636365,2.4679670333862305,9,10635,0.001,42642,88
4606,484.7415730337079,0.05,-2999.907865168539,1.6272410154342651,9,10760,0.001,43142,89
4609,484.9111111111111,0.05,-2979.291111111111,3.079793930053711,9,10885,0.001,43642,90
4612,485.0769230769231,0.05,-2959.8384615384616,3.9055910110473633,9,11010,0.001,44142,91
4615,485.2391304347826,0.05,-2937.444565217391,1.903802514076233,9,11135,0.001,44642,92
4618,485.39784946236557,0.05,-2917.577419354838,3.0017075538635254,9,11260,0.001,45142,93
4614,485.5531914893617,0.05,-2897.809574468085,3.0075342655181885,9,11385,0.001,45642,94
4616,485.70526315789476,0.05,-2879.976842105263,1.6628332138061523,9,11510,0.001,46142,95
4619,485.8541666666667,0.05,-2861.602083333333,2.7437710762023926,10,11635,0.001,46642,96
4621,486.0,0.05,-2843.198969072165,2.3119399547576904,10,11760,0.001,47142,97
4623,486.14285714285717,0.05,-2824.055102040816,3.02658748626709,10,11885,0.001,47642,98
4625,486.2828282828283,0.05,-2805.853535353535,2.14762282371521,10,12010,0.001,48142,99
4628,486.42,0.05,-2787.9569999999994,2.1051712036132812,10,12135,0.001,48642,100
4630,487.21,0.05,-2608.751,2.393014669418335,10,12260,0.001,49142,101
4632,487.21,0.05,-2431.264,2.6156163215637207,10,12385,0.001,49642,102
