step=067 action=3 queues(env)=N4,S9,E6,W0 rendered_approaching={'N': 4, 'S': 7, 'E': 6, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-35.2
step=068 action=2 queues(env)=N5,S9,E6,W0 rendered_approaching={'N': 5, 'S': 7, 'E': 6, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-40.1
step=069 action=1 queues(env)=N5,S9,E5,W0 rendered_approaching={'N': 5, 'S': 7, 'E': 5, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-39.9
step=070 action=0 queues(env)=N3,S9,E5,W0 rendered_approaching={'N': 3, 'S': 7, 'E': 5, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-36.6
step=071 action=0 queues(env)=N1,S7,E6,W0 rendered_approaching={'N': 1, 'S': 7, 'E': 6, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-25.6
step=072 action=3 queues(env)=N1,S7,E6,W0 rendered_approaching={'N': 1, 'S': 7, 'E': 6, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-28.7
step=073 action=0 queues(env)=N0,S6,E6,W1 rendered_approaching={'N': 0, 'S': 6, 'E': 6, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-26.9
step=074 action=1 queues(env)=N1,S6,E5,W0 rendered_approaching={'N': 1, 'S': 6, 'E': 5, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-24.4
step=075 action=4 queues(env)=N2,S7,E5,W1 rendered_approaching={'N': 2, 'S': 7, 'E': 5, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-38.6
step=076 action=2 queues(env)=N2,S7,E5,W2 rendered_approaching={'N': 2, 'S': 7, 'E': 5, 'W': 2} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 10} reward=-33.1
step=077 action=0 queues(env)=N0,S6,E6,W2 rendered_approaching={'N': 0, 'S': 6, 'E': 6, 'W': 2} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-26.4
step=078 action=1 queues(env)=N0,S6,E6,W1 rendered_approaching={'N': 0, 'S': 6, 'E': 6, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-26.7
step=079 action=4 queues(env)=N0,S7,E6,W1 rendered_approaching={'N': 0, 'S': 7, 'E': 6, 'W': 1} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 10} reward=-37.0
step=080 action=3 queues(env)=N1,S7,E6,W2 rendered_approaching={'N': 1, 'S': 7, 'E': 6, 'W': 2} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 9} reward=-32.4
